Season,Zone,Region,District,LZ System,LZ Type,Livelihood Zone,LZ pop..,"Stressed
IPC Phase 2","Crisis
IPC Phase 3","Emergency
IPC Phase 4","Catastrophe
IPC Phase 5"
2016 (Feb-Jun),North West,Awdal,Zeylac,IDP,IDP,IDP,70,70,0,0,0
2015 (Aug-Dec),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","23,907","27,095",0,0
2015 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","8,607",0,0,0
2015 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375","1,355","1,434",0,0
2015 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632",984,"1,042",0,0
2015 (Aug-Dec),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","5,211","5,906",0,0
2015 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","11,117",0,0,0
2015 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","17,424","18,449",0,0
2015 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555",683,0,0,0
2015 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","14,434","15,283",0,0
2015 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",425,0,0,0
2015 (Aug-Dec),North West,Awdal,Borama,Urban,Urban,Urban,"271,045",0,0,0,0
2015 (Aug-Dec),North West,Awdal,Baki,Urban,Urban,Urban,"4,243",0,0,0,0
2015 (Aug-Dec),North West,Awdal,Lughaye,Urban,Urban,Urban,"6,407",0,0,0,0
2015 (Aug-Dec),North West,Awdal,Zeylac,Urban,Urban,Urban,"6,127",0,0,0,0
2015 (Aug-Dec),North West,Awdal,Borama,IDP,IDP,IDP,60,0,0,0,0
2015 (Aug-Dec),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2015 (Aug-Dec),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860",0,0,0,0
2015 (Aug-Dec),North West,Awdal,Zeylac,IDP,IDP,IDP,70,0,0,0,0
2017 (Feb-Jun),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","9,563","9,563",0,0
2017 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","12,910","4,303",0,0
2017 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375",877,"2,311",478,0
2017 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632",637,"1,679",347,0
2017 (Feb-Jun),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","2,084","2,084",0,0
2017 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","16,676","5,559",0,0
2017 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","11,275","29,724","6,150",0
2017 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555","1,025",342,0,0
2017 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","9,340","24,622","5,094",0
2017 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",637,212,0,0
2017 (Feb-Jun),North West,Awdal,Borama,URBAN,Urban,URBAN,"271,045","60,985",0,0,0
2017 (Feb-Jun),North West,Awdal,Baki,URBAN,Urban,URBAN,"4,243",955,0,0,0
2017 (Feb-Jun),North West,Awdal,Lughaye,URBAN,Urban,URBAN,"6,407","1,442",0,0,0
2017 (Feb-Jun),North West,Awdal,Zeylac,URBAN,Urban,URBAN,"6,127","1,379",0,0,0
2017 (Feb-Jun),North West,Awdal,Borama,IDP,IDP,IDP,60,45,0,0,0
2017 (Feb-Jun),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2017 (Feb-Jun),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860","5,895",0,0,0
2017 (Feb-Jun),North West,Awdal,Zeylac,IDP,IDP,IDP,70,53,0,0,0
2016 (Aug-Dec),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","25,501","9,563",0,0
2016 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","12,910",0,0,0
2016 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375","2,630","2,311",478,0
2016 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632","1,911","1,679",347,0
2016 (Aug-Dec),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","5,559","2,084",0,0
2016 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","16,676",0,0,0
2016 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","33,824","29,724","6,150",0
2016 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555","1,025",0,0,0
2016 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","28,019","24,622","5,094",0
2016 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",637,0,0,0
2016 (Aug-Dec),North West,Awdal,Borama,URBAN,Urban,URBAN,"271,045",0,0,0,0
2016 (Aug-Dec),North West,Awdal,Baki,URBAN,Urban,URBAN,"4,243",0,0,0,0
2016 (Aug-Dec),North West,Awdal,Lughaye,URBAN,Urban,URBAN,"6,407",0,0,0,0
2016 (Aug-Dec),North West,Awdal,Zeylac,URBAN,Urban,URBAN,"6,127",0,0,0,0
2016 (Aug-Dec),North West,Awdal,Borama,IDP,IDP,IDP,60,60,0,0,0
2016 (Aug-Dec),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2016 (Aug-Dec),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860","7,860",0,0,0
2016 (Aug-Dec),North West,Awdal,Zeylac,IDP,IDP,IDP,70,70,0,0,0
2018 (Feb-Jun),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","12,750","14,344",0,0
2018 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","8,607","8,607",0,0
2018 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375",877,"1,753","2,789",0
2018 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632",637,"1,274","2,027",0
2018 (Feb-Jun),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","2,779","3,127",0,0
2018 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","11,117","11,117",0,0
2018 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","11,275","22,549","35,874",0
2018 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555",683,683,0,0
2018 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","9,340","18,679","29,717",0
2018 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",425,425,0,0
2018 (Feb-Jun),North West,Awdal,Borama,URBAN,Urban,URBAN,"271,045","60,985","20,328",0,0
2018 (Feb-Jun),North West,Awdal,Baki,URBAN,Urban,URBAN,"4,243",955,318,0,0
2018 (Feb-Jun),North West,Awdal,Lughaye,URBAN,Urban,URBAN,"6,407","1,442",481,0,0
2018 (Feb-Jun),North West,Awdal,Zeylac,URBAN,Urban,URBAN,"6,127","1,379",460,0,0
2018 (Feb-Jun),North West,Awdal,Borama,IDP,IDP,IDP,60,45,15,0,0
2018 (Feb-Jun),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2018 (Feb-Jun),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860","5,895","1,965",0,0
2018 (Feb-Jun),North West,Awdal,Zeylac,IDP,IDP,IDP,70,53,18,0,0
2017 (Aug-Dec),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","4,781","14,344",0,0
2017 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","4,303","12,910",0,0
2017 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375","1,753","2,231","1,434",0
2017 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632","1,274","1,621","1,042",0
2017 (Aug-Dec),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","1,042","3,127",0,0
2017 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","5,559","16,676",0,0
2017 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","22,549","28,699","18,449",0
2017 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555",342,"1,025",0,0
2017 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","18,679","23,773","15,283",0
2017 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",212,637,0,0
2017 (Aug-Dec),North West,Awdal,Borama,URBAN,Urban,URBAN,"271,045","60,985",0,0,0
2017 (Aug-Dec),North West,Awdal,Baki,URBAN,Urban,URBAN,"4,243",955,0,0,0
2017 (Aug-Dec),North West,Awdal,Lughaye,URBAN,Urban,URBAN,"6,407","1,442",0,0,0
2017 (Aug-Dec),North West,Awdal,Zeylac,URBAN,Urban,URBAN,"6,127","1,379",0,0,0
2017 (Aug-Dec),North West,Awdal,Borama,IDP,IDP,IDP,60,45,0,0,0
2017 (Aug-Dec),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2017 (Aug-Dec),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860","5,895",0,0,0
2017 (Aug-Dec),North West,Awdal,Zeylac,IDP,IDP,IDP,70,53,0,0,0
2019 (Feb-Jun),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"62,026","18,608","12,405",0,0
2019 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"55,824","25,121","8,374",0,0
2019 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,203","2,791","1,241","1,241",0
2019 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,507","2,028",901,901,0
2019 (Feb-Jun),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,520","4,056","2,704",0,0
2019 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"72,107","38,397","10,816",0,0
2019 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"79,777","35,900","15,955","15,955",0
2019 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,432","2,360",665,0,0
2019 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"66,085","29,738","13,217","13,217",0
2019 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,754","1,466",413,0,0
2019 (Feb-Jun),North West,Awdal,Borama,Urban,Urban,Urban,"263,707","19,778","59,334",0,0
2019 (Feb-Jun),North West,Awdal,Baki,Urban,Urban,Urban,"4,128",310,929,0,0
2019 (Feb-Jun),North West,Awdal,Lughaye,Urban,Urban,Urban,"6,234",468,"1,403",0,0
2019 (Feb-Jun),North West,Awdal,Zeylac,Urban,Urban,Urban,"5,961",447,"1,341",0,0
2019 (Feb-Jun),North West,Awdal,Borama,IDP_Urb,IDP,IDP_Urb,"10,000","5,000","5,000",0,0
2019 (Feb-Jun),North West,Awdal,Baki,IDP_Urb,IDP,IDP_Urb,"5,000","2,500","2,500",0,0
2019 (Feb-Jun),North West,Awdal,Lughaye,IDP_Urb,IDP,IDP_Urb,"9,000","4,500","4,500",0,0
2019 (Feb-Jun),North West,Awdal,Zeylac,IDP_Urb,IDP,IDP_Urb,0,0,0,0,0
2019 (Feb-Jun),North West,Awdal,Borama,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2019 (Feb-Jun),North West,Awdal,Baki,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2019 (Feb-Jun),North West,Awdal,Lughaye,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2019 (Feb-Jun),North West,Awdal,Zeylac,IDP_Rur,IDP,IDP_Rur,"2,000",906,395,384,0
2018 (Aug-Dec),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"62,026","9,304","9,304",0,0
2018 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"55,824","16,747",0,0,0
2018 (Aug-Dec),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,203","1,706","2,171","1,396",0
2018 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,507","1,239","1,577","1,014",0
2018 (Aug-Dec),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,520","2,028","2,028",0,0
2018 (Aug-Dec),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"72,107","21,632",0,0,0
2018 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"79,777","21,939","27,922","17,950",0
2018 (Aug-Dec),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,432","1,330",0,0,0
2018 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"66,085","18,173","23,130","14,869",0
2018 (Aug-Dec),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,754",826,0,0,0
2018 (Aug-Dec),North West,Awdal,Borama,Urban,Urban,Urban,"263,707","39,556","39,556",0,0
2018 (Aug-Dec),North West,Awdal,Baki,Urban,Urban,Urban,"4,128",619,619,0,0
2018 (Aug-Dec),North West,Awdal,Lughaye,Urban,Urban,Urban,"6,234",935,935,0,0
2018 (Aug-Dec),North West,Awdal,Zeylac,Urban,Urban,Urban,"5,961",894,894,0,0
2018 (Aug-Dec),North West,Awdal,Borama,IDP_Urb,IDP,IDP_Urb,"10,000","5,000","5,000",0,0
2018 (Aug-Dec),North West,Awdal,Baki,IDP_Urb,IDP,IDP_Urb,"5,000","2,500","2,500",0,0
2018 (Aug-Dec),North West,Awdal,Lughaye,IDP_Urb,IDP,IDP_Urb,"9,000","4,500","4,500",0,0
2018 (Aug-Dec),North West,Awdal,Zeylac,IDP_Urb,IDP,IDP_Urb,0,0,0,0,0
2018 (Aug-Dec),North West,Awdal,Borama,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2018 (Aug-Dec),North West,Awdal,Baki,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2018 (Aug-Dec),North West,Awdal,Lughaye,IDP_Rur,IDP,IDP_Rur,0,0,0,0,0
2018 (Aug-Dec),North West,Awdal,Zeylac,IDP_Rur,IDP,IDP_Rur,"2,000",560,680,440,0
2016 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"42,055","11,039",0,0,0
2016 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Southern Agro-Pastoral,"42,055","3,810",0,0,0
2016 (Feb-Jun),South,Bakool,Ceel Barde,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","51,503","9,271",0,0,0
2016 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"23,317","6,121",0,0,0
2016 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Southern Agro-Pastoral,"23,317","2,112",0,0,0
2016 (Feb-Jun),South,Bakool,Tayeeglow,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","1,943",350,0,0,0
2016 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,Southern Agro-Pastoral,"55,352","5,014",0,0,0
2016 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"36,901","9,687",0,0,0
2016 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","4,855",874,0,0,0
2016 (Feb-Jun),South,Bakool,Xudur,Urban,Urban,Urban,"19,992",0,"5,998",0,0
2016 (Feb-Jun),South,Bakool,Ceel Barde,Urban,Urban,Urban,"4,626","1,388",0,0,0
2016 (Feb-Jun),South,Bakool,Tayeeglow,Urban,Urban,Urban,"17,898","5,369",0,0,0
2016 (Feb-Jun),South,Bakool,Waajid,Urban,Urban,Urban,"19,413",0,"5,824",0,0
2016 (Feb-Jun),South,Bakool,Xudur,IDP,IDP,IDP,"4,800",0,"3,600",0,0
2016 (Feb-Jun),South,Bakool,Ceel Barde,IDP,IDP,IDP,"3,000","2,250",0,0,0
2016 (Feb-Jun),South,Bakool,Tayeeglow,IDP,IDP,IDP,"7,200","5,400",0,0,0
2016 (Feb-Jun),South,Bakool,Waajid,IDP,IDP,IDP,"9,000",0,"6,750",0,0
2015 (Aug-Dec),South,Bakool,Xudur,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"42,055","11,039",0,0,0
2015 (Aug-Dec),South,Bakool,Xudur,Agro-Pastoral,Rural,Southern Agro-Pastoral,"42,055","3,810",0,0,0
2015 (Aug-Dec),South,Bakool,Ceel Barde,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","51,503","9,271",0,0,0
2015 (Aug-Dec),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"23,317","6,121",0,0,0
2015 (Aug-Dec),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Southern Agro-Pastoral,"23,317","2,112",0,0,0
2015 (Aug-Dec),South,Bakool,Tayeeglow,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","1,943",350,0,0,0
2015 (Aug-Dec),South,Bakool,Waajid,Agro-Pastoral,Rural,Southern Agro-Pastoral,"55,352","5,014",0,0,0
2015 (Aug-Dec),South,Bakool,Waajid,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"36,901","9,687",0,0,0
2015 (Aug-Dec),South,Bakool,Waajid,Agro-Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","4,855","1,311",0,0,0
2015 (Aug-Dec),South,Bakool,Xudur,Urban,Urban,Urban,"19,992","3,499","7,997",0,0
2015 (Aug-Dec),South,Bakool,Ceel Barde,Urban,Urban,Urban,"4,626","1,388",0,0,0
2015 (Aug-Dec),South,Bakool,Tayeeglow,Urban,Urban,Urban,"17,898","5,369",0,0,0
2015 (Aug-Dec),South,Bakool,Waajid,Urban,Urban,Urban,"19,413","5,096","9,464",0,0
2015 (Aug-Dec),South,Bakool,Xudur,IDP,IDP,IDP,"4,800",0,"4,800",0,0
2015 (Aug-Dec),South,Bakool,Ceel Barde,IDP,IDP,IDP,"3,000","2,250",0,0,0
2015 (Aug-Dec),South,Bakool,Tayeeglow,IDP,IDP,IDP,"7,200","5,400",0,0,0
2015 (Aug-Dec),South,Bakool,Waajid,IDP,IDP,IDP,"9,000",0,"9,000",0,0
2017 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"42,055","9,462","8,411","11,039",0
2017 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Southern Agro-Pastoral,"42,055","4,920","16,350","3,810",0
2017 (Feb-Jun),South,Bakool,Ceel Barde,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","51,503","6,309","20,215","4,635",0
2017 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"23,317","5,246","4,663","6,121",0
2017 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Southern Agro-Pastoral,"23,317","2,728","9,065","2,112",0
2017 (Feb-Jun),South,Bakool,Tayeeglow,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","1,943",238,763,175,0
2017 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,Southern Agro-Pastoral,"55,352","6,476","21,519","5,014",0
2017 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"36,901","8,303","7,380","9,687",0
2017 (Feb-Jun),South,Bakool,Waajid,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","4,855",595,"1,906",437,0
2017 (Feb-Jun),South,Bakool,Xudur,URBAN,Urban,URBAN,"19,992","3,499","5,748","3,998",0
2017 (Feb-Jun),South,Bakool,Ceel Barde,URBAN,Urban,URBAN,"4,626","1,388",463,0,0
2017 (Feb-Jun),South,Bakool,Tayeeglow,URBAN,Urban,URBAN,"17,898","5,369","1,790",0,0
2017 (Feb-Jun),South,Bakool,Waajid,URBAN,Urban,URBAN,"19,413","3,397","5,581","3,883",0
2017 (Feb-Jun),South,Bakool,Xudur,IDP,IDP,IDP,"4,800",0,"2,400","2,400",0
2017 (Feb-Jun),South,Bakool,Ceel Barde,IDP,IDP,IDP,"3,000","2,250",750,0,0
2017 (Feb-Jun),South,Bakool,Tayeeglow,IDP,IDP,IDP,"7,200","5,400","1,800",0,0
2017 (Feb-Jun),South,Bakool,Waajid,IDP,IDP,IDP,"9,000",0,"4,500","4,500",0
2016 (Aug-Dec),South,Bakool,Xudur,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"42,055","7,360","7,360",0,0
2016 (Aug-Dec),South,Bakool,Xudur,Agro-Pastoral,Rural,Southern Agro-Pastoral,"42,055","11,430","3,810",0,0
2016 (Aug-Dec),South,Bakool,Ceel Barde,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","51,503","18,541",0,0,0
2016 (Aug-Dec),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"23,317","4,080","4,080",0,0
2016 (Aug-Dec),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Southern Agro-Pastoral,"23,317","6,337","2,112",0,0
2016 (Aug-Dec),South,Bakool,Tayeeglow,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","1,943",700,0,0,0
2016 (Aug-Dec),South,Bakool,Waajid,Agro-Pastoral,Rural,Southern Agro-Pastoral,"55,352","15,043","5,014",0,0
2016 (Aug-Dec),South,Bakool,Waajid,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"36,901","6,458","6,458",0,0
2016 (Aug-Dec),South,Bakool,Waajid,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","4,855","1,748",0,0,0
2016 (Aug-Dec),South,Bakool,Xudur,URBAN,Urban,URBAN,"19,992","1,999","5,998",0,0
2016 (Aug-Dec),South,Bakool,Ceel Barde,URBAN,Urban,URBAN,"4,626","1,388",0,0,0
2016 (Aug-Dec),South,Bakool,Tayeeglow,URBAN,Urban,URBAN,"17,898","5,369",0,0,0
2016 (Aug-Dec),South,Bakool,Waajid,URBAN,Urban,URBAN,"19,413","1,941","5,824",0,0
2016 (Aug-Dec),South,Bakool,Xudur,IDP,IDP,IDP,"4,800","1,200","3,600",0,0
2016 (Aug-Dec),South,Bakool,Ceel Barde,IDP,IDP,IDP,"3,000","2,250",0,0,0
2016 (Aug-Dec),South,Bakool,Tayeeglow,IDP,IDP,IDP,"7,200","5,400",0,0,0
2016 (Aug-Dec),South,Bakool,Waajid,IDP,IDP,IDP,"9,000","2,250","6,750",0,0
2018 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"42,055","4,731","19,450",0,0
2018 (Feb-Jun),South,Bakool,Xudur,Agro-Pastoral,Rural,Southern Agro-Pastoral,"42,055","11,430",0,0,0
2018 (Feb-Jun),South,Bakool,Ceel Barde,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","51,503","9,271",0,0,0
2018 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Bay-Bakool Agro-pastoral Low Potential,"23,317","2,623","10,784",0,0
2018 (Feb-Jun),South,Bakool,Tayeeglow,Agro-Pastoral,Rural,Southern Agro-Pastoral,"23,317","6,337",0,0,0
2018 (Feb-Jun),South,Bakool,Tayeeglow,Pastoral,Rural,"Southern Inland Pastoral (Camel, Goats, Sheep and Cattle)","1,943",350,0,0,0
2018 (Feb-Jun),South,Bakool,Waajid,Agro-Pastoral,Rural,Southern Agro-Pastoral,"55,352","15,043",0,0,0
